emp_id,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
101026,26313.12,25804.09,20273.02,98277.5,4248.35,26104.38,79338.58,71693.82,40412.24,67854.38,11246.17,19104.61,30431.9,97129.77,40933.42,68128.08,66455.56,97646.81,82999.78,48014.3,20109.16,50518.94,98701.65,75366.66,1882.07,25314.23,6677.0,43919.83,2160.42,78449.54,28448.04,77882.93,21417.37,46344.21,14584.73,27788.85,86968.59,89858.44,601.62,13992.64,56945.26,53273.91,12461.37,87021.37,85578.68,94610.1,10264.53,49452.91,86461.65,45917.07,16443.7,71947.12,68131.09,16457.55,40837.98,19517.48,35651.89,37884.91,28377.83
101036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47832.6,34053.53,83652.74
101100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13227.51,94950.67
101104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47530.36,42292.24,40366.99,79301.94,22048.91,32034.86,69792.82,15854.79,73491.51,82919.35,83010.64,2521.18,53214.12,24854.33,57014.84,26051.44,84056.81
101108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46312.49,48769.8,16781.63,84719.18,69891.14,36229.94,66573.85,63854.67
101124,,,,15256.71,63606.4,79006.98,76327.48,29881.94,88019.47,56167.01,15499.95,73234.42,10202.54,45575.43,50812.53,53684.37,30086.07,20894.02,7252.06,78412.7,75456.85,81686.85,58683.91,29209.25,41016.48,90509.6,53840.62,96522.81,56963.96,53182.13,27786.76,74.13,16148.42,62877.54,5892.38,68745.23,88067.45,54254.31,97318.29,50004.41,28932.4,12471.42,23329.81,95928.19,42442.88,27714.66,57990.7,43872.88,34182.01,67518.19,51862.36,562.41,33334.01,95029.77,32002.94,46236.96,26160.6,92126.42,11470.05
101126,,,,,,,,,,,,53654.53,55735.36,19696.36,12379.63,22758.6,82236.59,73976.16,24968.3,52901.34,98262.28,86601.23,22043.14,58498.64,29993.78,15929.38,43508.17,19347.13,74893.45,969.93,14989.59,30350.92,24009.33,83209.39,66780.9,23102.95,15068.37,99561.8,88586.82,55933.34,98087.18,56726.11,86524.56,64316.3,57562.22,38692.33,89744.45,75836.64,61611.75,97573.91,48152.37,58862.81,25634.93,49491.56,25900.78,33580.5,55289.32,50599.75,52716.5
101133,,,,,,,,,,,,,,,8827.08,89395.38,96960.16,29802.91,27876.16,61290.43,95187.88,81253.09,29479.43,92755.89,17679.15,34553.1,67490.13,42562.47,68508.4,5056.46,4703.7,89096.0,54187.65,44423.54,36052.59,84159.01,31941.65,45969.52,14495.01,25828.57,97093.66,9490.66,34075.75,61839.03,46311.89,8270.87,16400.11,68059.06,57519.87,4216.14,89632.55,43268.36,87082.1,22955.18,31020.44,30590.81,35889.99,76646.01,47334.22
101150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71435.87,65038.43,57864.98,92892.37,49173.2,68909.17,48332.03,34144.99,18282.26,64271.38,66934.03,93990.21,30343.18,16406.56,5223.79,56218.3,49750.04,11114.51,92247.16,16380.92,9423.33,22116.97,81265.26,18811.77,21692.56,29828.51
101173,,97117.78,59335.7,55744.78,67788.45,69381.56,91992.72,2555.49,998.59,90415.84,47342.04,34743.85,17485.98,16993.0,24477.47,49984.41,13915.06,36670.08,72308.2,2135.19,5834.22,21856.98,48443.14,65110.78,59129.69,843.01,24077.09,19149.78,43744.44,5076.41,67251.27,49918.63,35014.85,19990.92,95728.06,92627.14,99082.76,65239.54,23759.53,92726.02,66863.15,67510.19,57220.1,96821.05,62834.9,99598.18,60552.63,72690.95,82996.18,16423.5,60098.1,77700.69,1218.79,3749.54,19430.93,66272.29,28288.11,30840.56,51014.96
101174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95765.76,6303.49,88899.25,90829.83,11912.03,19420.95,94670.13,40662.76,42691.7,23085.71,70798.4,74581.27,64606.29,75778.82,16389.92,52292.81,64884.35,101.47,84906.47,77676.0,90866.24,38771.64,15322.88,22296.7,66504.72
101180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6947.29,13690.11,82793.12,29052.65,63489.78,63813.42,49816.25,25387.48,81129.5,96717.47,33705.9,58243.45,31450.25,76366.38,71040.2,55258.9,23847.71,35234.6,37553.23,15408.95,20114.29,99558.67,87769.03,91056.73
101188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44695.76,20959.67,35387.33,6185.98,79634.99,99042.05,65523.63,64366.76,82829.0,47884.26,46167.02,58532.3,13944.27,45578.23,71673.8,94334.58,19171.82,79486.98
101229,,,,,,,,,,,,,,,,,,,,,90636.49,52350.21,46362.91,92681.49,45570.66,53581.17,72994.58,17203.37,32712.85,79170.64,12993.81,29227.92,91645.8,96735.65,88492.96,24691.98,32892.92,57669.55,13126.2,66055.76,88655.08,13338.26,13303.42,92145.75,99661.44,59048.65,75553.44,67195.28,1976.07,1217.97,77786.03,15647.72,15559.59,21628.2,4563.82,52807.37,84161.85,58343.82,41994.96
101236,,,,,,,,,,,,,,,,,,,,,,38943.78,49101.1,53329.28,23932.64,82488.56,74098.95,30704.65,98693.11,62681.65,90608.52,87169.8,90259.25,78334.12,69744.2,5653.74,3763.05,12466.59,30057.76,72367.62,18090.65,1935.74,99794.07,4784.04,84711.99,62710.96,95504.24,92295.02,98644.86,77417.05,29352.52,64590.97,58812.54,65063.39,83110.95,64420.28,44575.0,67540.04,78370.68
