Reliability,Age
1.0,45.3
0.72,32.1
0.77,27.3
0.85,43.0
0.84,24.8
0.87,27.4
0.83,38.3
0.75,20.5
0.94,38.3
0.78,42.7
0.99,51.8
0.84,51.8
0.8,58.0
0.99,27.7
0.81,49.2
0.74,53.2
0.75,53.6
0.94,37.5
0.75,24.6
0.95,51.0
0.78,50.9
0.97,59.5
0.99,36.1
0.8,40.9
0.79,52.8
0.99,44.0
0.72,58.3
0.71,57.7
0.73,33.5
0.79,22.1
0.78,37.9
1.0,48.5
0.93,23.1
0.95,29.4
0.96,21.7
0.71,31.8
0.75,32.1
0.86,47.0
0.99,21.8
0.77,30.0
0.73,50.4
0.92,57.1
0.98,32.7
0.92,38.4
0.97,45.7
0.78,52.2
0.85,35.4
0.82,40.5
0.73,24.4
0.78,34.5
0.72,50.1
0.76,40.0
0.92,48.4
0.78,57.2
0.79,38.6
0.87,31.8
0.72,34.9
0.72,27.9
0.9,58.6
0.97,26.9
0.72,28.4
0.75,46.4
0.8,49.7
0.99,22.4
0.84,42.6
0.84,35.9
0.81,46.7
0.81,27.8
0.79,34.0
0.91,24.7
0.8,52.8
0.76,49.4
0.9,44.7
0.74,20.6
0.96,40.9
0.77,58.7
0.77,48.5
0.71,56.4
0.71,26.1
0.77,33.5
0.92,55.9
0.72,22.7
0.76,31.4
0.86,30.7
0.87,36.6
0.85,48.2
0.96,58.5
0.77,32.4
0.85,42.1
0.92,32.7
0.86,37.0
0.98,33.9
0.84,37.8
0.95,55.6
0.94,35.4
0.93,30.6
0.72,40.3
0.92,22.5
0.93,37.6
0.92,39.0
0.96,30.3
0.76,36.2
0.94,50.0
0.99,36.5
0.73,30.8
0.84,56.3
0.86,34.2
0.92,32.3
0.8,41.5
0.73,39.6
0.97,32.1
0.9,24.5
0.81,48.4
0.93,58.6
0.95,50.7
0.81,31.1
0.8,57.9
0.87,33.7
0.94,49.3
0.89,41.8
0.87,24.1
0.89,30.2
0.95,20.7
0.83,37.9
0.87,55.0
0.92,40.3
0.93,34.5
0.84,40.0
0.92,56.3
0.79,38.9
0.83,56.0
0.74,31.8
0.94,26.8
0.76,55.7
0.71,39.0
0.97,27.3
0.72,21.2
0.81,43.0
0.81,27.1
0.82,56.3
0.92,42.5
0.75,53.8
0.77,30.1
0.87,24.5
0.7,42.6
0.97,38.1
0.94,46.7
0.77,43.2
0.87,48.8
0.71,20.8
0.99,40.9
0.73,32.0
0.76,39.1
0.96,32.3
0.87,31.0
0.89,38.4
0.78,26.3
0.99,25.9
0.95,40.3
0.74,40.7
0.91,28.0
0.93,44.6
0.81,27.9
0.92,47.6
0.87,57.9
0.96,33.8
0.87,40.9
0.99,26.5
0.94,36.1
0.86,43.6
0.95,55.2
0.91,25.7
0.95,40.5
0.91,34.3
0.76,44.5
0.77,57.7
0.89,43.6
0.8,56.0
0.87,29.5
0.77,23.6
0.74,48.0
0.85,41.6
0.93,30.1
0.87,25.9
0.88,52.0
0.74,53.5
0.99,23.2
0.75,41.4
0.85,28.3
0.74,58.8
0.83,34.9
0.84,55.2
0.87,43.8
0.75,38.0
0.95,40.4
1.0,45.7
0.72,44.9
0.93,27.8
0.98,54.7
0.8,41.9
